0,1
23,218
23,230
24,206
24,207
25,214
26,266
27,249
27,250
27,251
27,252
27,253
27,254
27,258
28,247
28,251
28,254
28,255
28,260
28,261
28,262
28,263
29,246
29,247
29,253
29,260
30,57
30,247
30,248
30,250
30,251
30,252
30,260
30,261
30,262
30,263
30,264
31,65
31,66
31,67
31,204
31,245
31,248
31,251
31,253
31,254
31,255
31,256
31,263
31,264
31,265
32,60
32,65
32,248
32,250
32,256
32,257
32,259
32,262
33,66
33,67
33,88
33,89
33,90
33,258
33,259
33,260
33,261
34,65
34,67
34,68
34,69
34,70
34,91
34,261
35,76
35,82
35,93
35,94
35,95
35,96
35,97
35,336
36,79
36,92
36,93
36,94
36,95
36,96
36,97
37,93
37,94
37,95
37,96
37,97
37,122
37,206
37,208
38,82
38,93
38,94
38,95
38,96
38,97
38,98
38,310
39,94
39,95
39,96
39,97
39,98
39,99
39,100
39,101
40,84
40,316
41,315
43,87
